STRATEGY;ISIN
LUXE;FR0000121014
ENERGY_AUTO_BREWERS;FR0000131906
ENERGY_AUTO_BREWERS;FR0000130395
ENERGY_AUTO_BREWERS;FR0000120271
ENERGY_AUTO_BREWERS;FR0012757854
ENERGY_AUTO_BREWERS;FR0000121972
ENERGY_AUTO_BREWERS;FR0000073272
ENERGY_AUTO_BREWERS;FR0000120693
ENERGY_AUTO_BREWERS;FR0010208488
ENERGY_AUTO_BREWERS;FR0000130452
ENERGY_AUTO_BREWERS;FR0010242511
ENERGY_AUTO_BREWERS;FR0000120503
ENERGY_AUTO_BREWERS;FR0010220475
